Nº;TITULO;Autor;Año;SignaturaLCC;LCCSeccion;LCCNumero;LCCCutter;Ejemplar;Observaciones
1;LOGICA MATEMATICA  un enfoque axiomatico;Augusto Cortez Vasquez;1998;BC135.C78;BC;135;.C78;1;
2;LOGICA MATEMATICA  un enfoque axiomatico;Augusto Cortez Vasquez;1998;BC135.C78;BC;135;.C78;2;
3;LOGICA MATEMATICA  un enfoque axiomatico;Augusto Cortez Vasquez;1998;BC135.C78;BC;135;.C78;3;
4;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;1;
5;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;10;
6;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;11;
7;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;2;
8;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;3;
9;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;4;
10;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;5;
11;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;6;
12;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;7;
13;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;8;
14;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;2014;BF176.A88;BF;176;.A88;9;
15;LOS RUMBOS DE LA MENTE  ensayos sobre el yo, lo mental natural y la inteligencia artificial;Juan Manuel Cuartas Restrepo;2007;BF176.C93 ;BF;176;.C93 ;1;
16;Introduccion al Pensamiento Sistematico;Juan Carlos Osorio Gomez;2007;G129.081;G;129.081;;1;
17;The Black Art OF MULTIPLATFORM Game Programming;Jazon Yamamoto;2015;GV1469.2.Y11;GV;1469.2;.Y11;1;
18;Teoria General de Sistemas;John P. Van Gigch;2011;H61.V28;H;61;.V28;1;
19;ESTADISTICA con SPSS 22;Lic. Nel Quezada Lucio;2014;HA32.Q39;HA;32;.Q39;1;
20;Elementos basicos de economia Teoría económica,  Micro y macroeconomia;Abel Arce Carrasco;2006;HB171.5.A82;HB;171.5;.A82;1;
21;Fundamentos de Economia;Paul Krugman;2010;HB171.5.K58;HB;171.5;.K58;1;
22;Principios de Economia;N. Gregory Mankiw;2012;HB171.5.M22;HB;171.5;.M22;1;
23;Economia;Michael Parkin;2014;HB171.5.M22;HB;171.5;.M22;1;
24;Principios de Economia;N. Gregory Mankiw;2017;HB171.5.M22 ;HB;171.5;.M22 ;1;
25;Principios de Economia;N. Gregory Mankiw;2012 ;HB171.5.M22;HB;171.5;.M22;2;
26;Principios de Economia;N. Gregory Mankiw;2017;HB171.5.M22;HB;171.5;.M22;2;
27;Economia;Michael Parkin;2014;HB171.5.M22;HB;171.5;.M22;2;
28;Principios de Economia;N. Gregory Mankiw;2017 ;HB171.5.M22;HB;171.5;.M22;3;
29;Economia;Michael Parkin;2014;HB171.5.M22;HB;171.5;.M22;3;
30;Principios de Economia;N. Gregory Mankiw;2017 ;HB171.5.M22;HB;171.5;.M22;4;
31;Economia;Michael Parkin;2014;HB171.5.M22;HB;171.5;.M22;4;
32;Principios de Economia;N. Gregory Mankiw;2017;HB171.5.M22;HB;171.5;.M22;5;
33;Economia;Michael Parkin;2014;HB171.5.M22;HB;171.5;.M22;5;
34;Macroeconomia Version para America Latina;N. Gregory Mankiw;2015;HB171.5.M22M;HB;171.5;.M22M;1;
35;Macroeconomia Version para America Latina;N. Gregory Mankiw;2015;HB171.5.M22M;HB;171.5;.M22M;2;
36;Macroeconomia Version para America Latina;N. Gregory Mankiw;2015;HB171.5.M22M;HB;171.5;.M22M;3;
37;Macroeconomia Version para America Latina;N. Gregory Mankiw;2015;HB171.5.M22M;HB;171.5;.M22M;4;
38;Macroeconomia Version para America Latina;N. Gregory Mankiw;2015;HB171.5.M22M;HB;171.5;.M22M;5;
40;Introduccion a la Economia ;Michael Parkin, Melanie Powell,  Kent Matthews;2013;HB171.5.P26;HB;171.5;.P26;1;
41;Introduccion a la Economia ;Michael Parkin, Melanie Powell,  Kent Matthews;2013;HB171.5.P27;HB;171.5;.P27;2;
42;Introduccion a la Economia ;Michael Parkin, Melanie Powell,  Kent Matthews;2013;HB171.5.P27;HB;171.5;.P27;3;
43;Introduccion a la Economia ;Michael Parkin, Melanie Powell,  Kent Matthews;2013;HB171.5.P27;HB;171.5;.P27;4;
44;Introduccion a la Economia ;Michael Parkin, Melanie Powell,  Kent Matthews;2013;HB171.5.P27;HB;171.5;.P27;5;
45;Contabilidad general Teoria y practica Teoria y practica;Lazaro Rodriguez Ariza,  Maria Victoria Lopez Perez;2009;HB171.5.R74;HB;171.5;.R74;1;
